index,Name,Team Code,Name for URL
0,B. Jerusalem,3793,beitar-jerusalem
1,Maccabi Netanya,5223,maccabi-netanya
2,Kiryat Shmona,6028,ironi-kiryat-shmona
3,Bnei Sakhnin,4769,ihud-bnei-sachnin
4,Maccabi Haifa,1064,maccabi-haifa
5,M. Tel Aviv,119,maccabi-tel-aviv
6,Hapoel Tel Aviv,1017,hapoel-tel-aviv
7,FC Ashdod,6105,fc-ashdod
8,Bnei Yehuda,9095,bnei-yehuda-tel-aviv
9,M. Petah Tikva,3785,maccabi-petah-tikva
10,H. Kfar Saba,7532,hapoel-kfar-saba
11,Maccabi Herzlya,8907,maccabi-herzliya
21,H. Petah Tikva,262,hapoel-petah-tikva
22,Hakoah Amidar,21535,hakoah-amidar-ramat-gan
31,H. Beer Sheva,2976,hapoel-beer-sheva
34,H. Ramat Gan,2785,hapoel-ramat-gan
35,Hapoel Haifa,810,hapoel-haifa
37,Hapoel Acre,6025,hapoel-akko
38,M. Ahi Nazareth,2828,maccabi-ahi-nazareth
39,Hapoel Raanana,20857,hapoel-raanana
53,H. Ashkelon,19977,hapoel-ashkelon
65,Ramat haSharon,31134,hapoel-ramat-hasharon
70,H Rishon leZion,554,hapoel-rishon-lezion
161,Hapoel Hadera,51931,hapoel-hadera
182,Ness Ziona,30062,sektzia-ness-ziona
208,H. Jerusalem,43119,hapoel-jerusalem
211,H. Nof HaGalil,7000,hapoel-nof-hagalil
